"var","time","Min.","2.5%","Median","Mean","97.5%","Max."
"Minsub",4.33333333333333,0.250471607221156,0.290830589842226,0.345194927899138,0.345567498304889,0.401708903271153,0.43085657573743
"Minsub",4.41666666666667,0.245506659945392,0.285942907565281,0.340342070783097,0.340726900364998,0.397185471600385,0.426449776919124
"Minsub",4.5,0.240629747701761,0.28114371334126,0.335537105146018,0.335937001621177,0.392612855028107,0.422425531229058
"Minsub",4.58333333333333,0.235839995687815,0.276223438945881,0.33079744759789,0.331198465955353,0.388134863704001,0.418415616472685
"Minsub",4.66666666666667,0.231136485758331,0.271372560591609,0.326096266167231,0.326511851729178,0.383554639449044,0.414421476494536
"Minsub",4.75,0.226518261595382,0.266657406254472,0.321457786165154,0.321877620563504,0.379011343632895,0.410444443665755
"Minsub",4.8,0.223787853787049,0.263841706258786,0.318664416023427,0.319122384328118,0.376306580338766,0.40806695077902
"Minsub",4.83333333333333,0.221984333444432,0.261979769801056,0.31686151445355,0.317296145358973,0.374515868382278,0.406485747096392
"Minsub",4.91666666666667,0.217533682399341,0.25738111160828,0.3122711932594,0.31276771753849,0.370079279740207,0.40254652000454
"Minsub",5,0.213165264315173,0.252891746457798,0.307794366810879,0.30829255365448,0.365778287256693,0.398627806405607
"Minsub",5.08333333333333,0.208878013403167,0.248557178166027,0.303440723393646,0.303870801460341,0.361512527665694,0.394730567235365
"Minsub",5.16666666666667,0.204670845493618,0.244200061059687,0.298987201595527,0.299502545428425,0.357282654583879,0.390855685900042
"Minsub",5.2,0.203010155722654,0.242416960293591,0.297224301496847,0.297770229671615,0.355600808488189,0.389312177542307
"Minsub",5.25,0.200542661032386,0.239765088872632,0.294631821026559,0.295187811830281,0.353088944568834,0.387003973378849
"Minsub",5.33333333333333,0.196492347853635,0.235485890655018,0.290392058350328,0.290926573455349,0.348819901764541,0.383176172961816
"Minsub",5.41666666666667,0.192518783708465,0.231319779823012,0.286212675917191,0.286718753936681,0.344564355989252,0.379372964596703
"Minsub",5.5,0.1886208385871,0.227228155769668,0.281997683273649,0.282564231749352,0.340352222049027,0.375594968914821
"Minsub",5.58333333333333,0.184797376860859,0.223253394971567,0.277917335278657,0.27846284392789,0.33630044071043,0.371842750985224
"Minsub",5.66666666666667,0.181047259230635,0.219392358292745,0.273867682433828,0.274414389479723,0.3323380854847,0.368116823775758
"Minsub",5.75,0.177369344517624,0.215481877979357,0.269842248191421,0.27041863255541,0.328334129501928,0.364417651382966
"Minsub",5.83333333333333,0.173762491319366,0.211591807244331,0.265946771249881,0.266475305416196,0.324446578466312,0.360745652072845
"Minsub",5.91666666666667,0.170225559517081,0.207749100634468,0.261960344212541,0.26258411117294,0.320530984519557,0.357101201106062
"Minsub",6,0.166757411655602,0.203984651077571,0.258059037343713,0.258744726332091,0.316635755083622,0.353484633383365
"Minsub",6.08333333333333,0.16335691421068,0.200329573470155,0.2542482741947,0.254956803174103,0.312782091968147,0.349896245936916
"Minsub",6.16666666666667,0.160022938735435,0.1966214304837,0.250463959684128,0.251219971946061,0.308969918029439,0.346336300247181
"Minsub",6.25,0.156754362907134,0.193148278609511,0.246836729297397,0.247533842904507,0.305199129632965,0.342805024421323
"Minsub",6.33333333333333,0.153550071487701,0.189764004322533,0.243203507943961,0.243898008232645,0.301469598721224,0.339302615257867
"Minsub",6.41666666666667,0.150408957189936,0.186355833648677,0.239547955586935,0.240312043813415,0.297781174730093,0.335829240176531
"Minsub",6.5,0.14732992146228,0.182993023274105,0.235963205391069,0.23677551088002,0.294133686376875,0.332385039034463
"Minsub",6.58333333333333,0.144311875200918,0.179689000567871,0.232440908140488,0.233287957559302,0.290526943336685,0.328970125844333
"Minsub",6.66666666666667,0.141353739385211,0.176511707763126,0.228955541098904,0.229848920295258,0.28696073779324,0.325584590378323
"Minsub",6.75,0.138454445649152,0.173368412092172,0.225547905846719,0.226457925175409,0.2834348458884,0.322228499681099
"Minsub",6.83333333333333,0.135612936796617,0.170197443296237,0.222209831942827,0.223114489175256,0.279949029086979,0.318901899507889
"Minsub",6.91666666666667,0.132828167256645,0.167082994564832,0.218861257409064,0.219818121308408,0.276503035443055,0.315604815671951
"Minsub",7,0.130099103486518,0.164019268647899,0.215625340157053,0.216568323696164,0.273166455814141,0.312337255315296
"Minsub",7.08333333333333,0.127424724327822,0.161048298107436,0.212422479360642,0.213364592566309,0.269870256546775,0.309099208112826
"Minsub",7.16666666666667,0.124804021314345,0.158129928428129,0.209251540119862,0.210206419172816,0.266610999052462,0.305890647398077
"Minsub",7.25,0.122235998939195,0.155263312535673,0.206115767091689,0.207093290651153,0.263388445339479,0.302711531226309
"Minsub",7.33333333333333,0.119719674885364,0.152448492194948,0.203000124051033,0.204024690818945,0.260202347169289,0.299561803385894
"Minsub",7.41666666666667,0.117254080218761,0.149683928940657,0.199903362008721,0.201000100914034,0.257052446986414,0.296441394346693
"Minsub",7.5,0.114838259548248,0.146968555792028,0.196903353452035,0.198019000278865,0.25393847878789,0.29335022215489
"Minsub",7.58333333333333,0.112471271155575,0.144301556740967,0.193937279939519,0.195080866997523,0.250804468397388,0.290288193281257
"Minsub",7.66666666666667,0.110152187095885,0.141662468268204,0.191011614502391,0.192185178480216,0.247706907060328,0.287255203414386
"Minsub",7.75,0.10788009327274,0.139080546027191,0.188121319715738,0.189331412004767,0.244645839790309,0.284251138209824
"Minsub",7.83333333333333,0.105654089489653,0.136562896080915,0.185273307934149,0.186519045221338,0.241620805158192,0.281275874002778
"Minsub",7.91666666666667,0.103473289478871,0.134089753048001,0.182480822588158,0.183747556615493,0.238630473448529,0.278329278476317
"Minsub",8,0.101336820909863,0.131660394444854,0.179723135950866,0.181016425935395,0.235716059755906,0.275411211291708
"Minsub",8.08333333333333,0.099243825378938,0.129270885759101,0.176999148983499,0.178325134587208,0.232855741484004,0.272521524685741
"Minsub",8.16666666666667,0.0971934583817257,0.126920325344109,0.174328618365239,0.175673165995672,0.230028262478108,0.269660064029064
"Minsub",8.25,0.0951848892702988,0.124611985135219,0.171692306744278,0.173060005935948,0.227231219951993,0.26682666835323
"Minsub",8.33333333333333,0.0932173011954951,0.122345139424909,0.169110139762025,0.170485142840711,0.224415074679863,0.264021170851809
"Minsub",8.41666666666667,0.0912898910361944,0.120119072907388,0.166576974983376,0.167948068079604,0.221632710356846,0.2612433993499
"Minsub",8.5,0.0894018693166663,0.117933080667004,0.164098766069296,0.165448276214797,0.218906769466285,0.258493176746712
"Minsub",8.58333333333333,0.087552460112488,0.115786468155566,0.161656441652804,0.16298526523524,0.216223644850173,0.255770321434619
"Minsub",8.66666666666667,0.0857409009473412,0.113678551159796,0.159249539644219,0.160558536767986,0.2135723315236,0.253074647690522
"Minsub",8.75,0.0839664426810852,0.111608655759797,0.156877600449902,0.158167596270444,0.210952508504569,0.250405966044914
"Minsub",8.83333333333333,0.0822283493888006,0.109576118278745,0.154540167193244,0.15581195320597,0.208363855016702,0.247764083632443
"Minsub",8.91666666666667,0.0805258982330976,0.107580285225027,0.15223678591603,0.15349112120129,0.205806050681447,0.245148804519982
"Minsub",9,0.0788583793299591,0.105620513227401,0.149940360524729,0.151204618188121,0.203278775697876,0.242559930015521
"Minsub",9.08333333333333,0.0772250956080461,0.103696168963378,0.147680312576219,0.14895196653058,0.200781711011496,0.239997258960266
"Minsub",9.16666666666667,0.0756253626640298,0.101806629082396,0.145449114377328,0.146732693137693,0.19832380452609,0.237460588001058
"Minsub",9.25,0.074058508613509,0.0999512801238783,0.143251058319867,0.144546329563362,0.195909586078682,0.234949711846911
"Minsub",9.33333333333333,0.0725238739367002,0.0981295184298626,0.141081724405301,0.142392412095165,0.193524029118145,0.232464423512319
"Minsub",9.41666666666667,0.0710208113214272,0.0963407500537559,0.138933295065688,0.140270481831382,0.191166836278932,0.230004514544567
"Minsub",9.5,0.0695486855031676,0.0945843906652968,0.136817180218479,0.138180084747689,0.188832582792713,0.227569775237394
"Minsub",9.58333333333333,0.0681068731017416,0.09285986545159,0.134761248354503,0.136120771754447,0.186490673277533,0.225159994832657
"Minsub",9.66666666666667,0.0666947624572645,0.0911676576505049,0.13272892830628,0.134092098744519,0.184177282076429,0.222774961708045
"Minsub",9.75,0.0653117534644353,0.0895064265570363,0.130716196338006,0.132093626632934,0.181892092747729,0.220414463553486
"Minsub",9.83333333333333,0.0639572574040743,0.0878963839097105,0.128733590098493,0.130124921389135,0.179634790520447,0.218078287538086
"Minsub",9.91666666666667,0.062630696774483,0.0863194278574014,0.126780681932288,0.128185554061752,0.177405062405961,0.215766220465726
"Minsub",10,0.0613315051220839,0.0847705786206558,0.12485704887064,0.126275100796744,0.175217798028668,0.213478048920948
"Minsub",10.0833333333333,0.0600591268707358,0.0832493464309408,0.122962272667139,0.124393142849393,0.173058827387975,0.211213559406289
"Minsub",10.1666666666667,0.058813017152282,0.0817552493741977,0.121095939826243,0.122539266590452,0.170926045813508,0.208972538469737
"Minsub",10.25,0.0575926416371471,0.0802878133074578,0.11925764162564,0.120713063507142,0.168819157078364,0.20675477282417
"Minsub",10.3333333333333,0.056397476363771,0.0788465717727925,0.117455528225078,0.118914130199231,0.166737867174104,0.204560049460009
"Minsub",10.4166666666667,0.0552270075693852,0.0774310659099653,0.115663538216442,0.11714206837056,0.16468188435817,0.202388155749868
"Minsub",10.5,0.0540807315214299,0.076040844367603,0.11390693955159,0.115396484816412,0.162650919196868,0.200238879546295
"Minsub",10.5833333333333,0.0529581543489139,0.0746754632126165,0.112177635591412,0.113676991406937,0.160644684604311,0.198112009273433
"Minsub",10.6666666666667,0.0518587918761431,0.0733344858392944,0.11048673232406,0.111983205067165,0.15866289587708,0.196007334011723
"Minsub",10.75,0.0507821694575218,0.072017482877519,0.108811930252552,0.110314747753859,0.156705270725224,0.193924643576928
"Minsub",10.8333333333333,0.0497278218121882,0.070723560043755,0.107166731795187,0.108671246429176,0.15477152930001,0.191863728594309
"Minsub",10.9166666666667,0.0486952928608521,0.0694525791073838,0.105552183445823,0.107052333031695,0.15286139421816,0.189824380567159
"Minsub",11,0.0476841355640645,0.0682043510030216,0.103974454081784,0.105457644444964,0.150974590582986,0.187806391940466
"Minsub",11.0833333333333,0.0466939117611942,0.0669787600605556,0.102401226519858,0.10388682246358,0.149110846002679,0.185809556160237
"Minsub",11.1666666666667,0.0457241920123618,0.0657756414296125,0.100845409255597,0.102339513757472,0.147248047253461,0.183833667727966
"Minsub",11.25,0.0447745554420215,0.0645759864788838,0.0993110129307286,0.100815369834354,0.145445616217803,0.181878522251087
"Minsub",11.3333333333333,0.0438445895829808,0.0633966623368082,0.097813697152629,0.0993140470001472,0.143655280551122,0.179943916489965
"Minsub",11.4166666666667,0.0429338902230542,0.0622419240575615,0.0963247065036869,0.0978352063180483,0.141881098855442,0.178029648400952
"Minsub",11.5,0.0420420612535693,0.061129043853864,0.0948662244778839,0.0963785135662213,0.140128652280868,0.176135517175995
"Minsub",11.5833333333333,0.041168714519011,0.0600359917789918,0.0934310776302362,0.094943639194019,0.13839768370351,0.17426132327918
"Minsub",11.6666666666667,0.0403134696698651,0.0589626438081758,0.0920139140506765,0.0935302582774643,0.136687938563181,0.172406868479908
"Minsub",11.75,0.0394759540173905,0.0579089431611826,0.0906163090677772,0.0921380504737771,0.134999164863716,0.170571955883243
"Minsub",11.8333333333333,0.0386558023891749,0.056874013976176,0.0892398872583927,0.0907666999746577,0.133331113171625,0.168756389957802
"Minsub",11.9166666666667,0.0378526569874856,0.0558390652412731,0.0878947550218639,0.0894158954590472,0.131683536613182,0.166959976560906
"Minsub",12,0.0370661672496525,0.0548210342368813,0.0865736131981547,0.0880853300452411,0.130056190870062,0.165182522961328
"Minsub",12.0833333333333,0.0362959897098051,0.0538443132295515,0.0852596401821628,0.086774701242195,0.128448834173588,0.163423837859871
"Minsub",12.1666666666667,0.0355417878638329,0.0528863369528745,0.0839653546772346,0.085483710900767,0.126861227297747,0.161683731407634
"Minsub",12.25,0.03480323203637,0.0519369229224541,0.0826978964457855,0.0842120651645845,0.125293133551055,0.159962015222316
"Minsub",12.3333333333333,0.0340799992487412,0.0509894224910139,0.0814495216923436,0.0829594744201866,0.123744318767252,0.15825850240276
"Minsub",12.4166666666667,0.0333717730896917,0.050059178708548,0.0802191199577292,0.0817256532471805,0.122214551294989,0.156573007541632
"Minsub",12.5,0.0326782435881821,0.0491458790933129,0.0790065614664067,0.0805103203682238,0.120703601986581,0.154905346736421
"Minsub",12.5833333333333,0.0319991070876152,0.0482492167079359,0.0778125861169891,0.0793131985986329,0.119185432380482,0.15325533759892
"Minsub",12.6666666666667,0.0313340661231774,0.0473688900685707,0.0766310445858593,0.0781340147963539,0.117682053808421,0.151622799263147
"Minsub",12.75,0.0306828293011856,0.046504603055067,0.0754774703032809,0.0769724998119279,0.116197605269561,0.150007552391913
"Minsub",12.8333333333333,0.0300451111794662,0.0456560648214449,0.0743340791312763,0.0758283884380777,0.11473185035526,0.148409419182143
"Minsub",12.9166666666667,0.0294206321504047,0.0448229897079202,0.0732079780389712,0.0747014193596412,0.113284555494493,0.146828223368935
"Minsub",13,0.0288091183260028,0.0440050971540148,0.0720989074050161,0.0735913351036311,0.111855489926619,0.14526379022847
"Minsub",13.0833333333333,0.028210301424359,0.043202111612332,0.071008098625592,0.0724978819892026,0.11044442567384,0.143715946579868
"Minsub",13.1666666666667,0.0276239186590812,0.042413762464166,0.0699340100637544,0.0714208100782377,0.10905113751377,0.142184520786007
"Minsub",13.25,0.0270497126306177,0.041639783936206,0.068873396219901,0.0703598731261555,0.107708073797004,0.140669342753431
"Minsub",13.3333333333333,0.0264874312186221,0.0408799150176708,0.0678292699201961,0.0693148285325705,0.106390368434543,0.139170243931375
"Minsub",13.4166666666667,0.0259368274768224,0.0401338993790162,0.0668015013290621,0.0682854372924945,0.105088738555904,0.137687057309954
"Minsub",13.5,0.0253976595297844,0.039401485291772,0.0657902346382763,0.0672714639478492,0.10380299066565,0.136219617417586
"Minsub",13.5833333333333,0.0248696904710411,0.038682425549112,0.0647985858567663,0.066272676539065,0.102532933445746,0.13476776031768
"Minsub",13.6666666666667,0.0243526882639331,0.0379764773882239,0.0638258542175869,0.0652888465574378,0.101270924353105,0.133331323604676
